TokenId,Airdrop receiver,Owner,ProjectId,Is still in airdrop wallet
2245,0xa4b0679f66b072ab8bac48063f07a4f98be7d314,0xa1168968174d3a4f2b6666051800115d86fdc235,6,FALSE
2246,0xa4f0670468dfb825e6c2b5571e2c97d0844190a3,0xa4f0670468dfb825e6c2b5571e2c97d0844190a3,3,TRUE
2247,0xa50d8f5aab636799e84c5a97d4c21492c52618ef,0x836a51a6d849e6b1a2161c2329a71c7574b35d5c,19,FALSE
2248,0xa554951e8898bb4b598bfcd5648a7d1dd092b385,0xa554951e8898bb4b598bfcd5648a7d1dd092b385,9,TRUE
2249,0xa5bb18341a207e288cbc1b91f28a54f7cf3e478e,0xa5bb18341a207e288cbc1b91f28a54f7cf3e478e,18,TRUE
2250,0xa5bb18341a207e288cbc1b91f28a54f7cf3e478e,0xa5bb18341a207e288cbc1b91f28a54f7cf3e478e,18,TRUE
2251,0xa5bb18341a207e288cbc1b91f28a54f7cf3e478e,0xa5bb18341a207e288cbc1b91f28a54f7cf3e478e,18,TRUE
2252,0xa5d4bd9b2ae6d18c487b9cc66325ca4e2961df77,0xa5d4bd9b2ae6d18c487b9cc66325ca4e2961df77,0,TRUE
2253,0xa5d981bc0bc57500ffedb2674c597f14a3cb68c1,0xa5d981bc0bc57500ffedb2674c597f14a3cb68c1,14,TRUE
2254,0xa647a51a1af1ccae559f3ea0addbf2a42285a3b1,0xa647a51a1af1ccae559f3ea0addbf2a42285a3b1,6,TRUE
2255,0xa647a51a1af1ccae559f3ea0addbf2a42285a3b1,0xa647a51a1af1ccae559f3ea0addbf2a42285a3b1,6,TRUE
2256,0xa673605fd8e7acb73789fdd9e3ecae021cce4205,0xa673605fd8e7acb73789fdd9e3ecae021cce4205,19,TRUE
2257,0xa67918f975735ac6c8288863c8742a40a869f37a,0xa67918f975735ac6c8288863c8742a40a869f37a,1,TRUE
2258,0xa692a4656e369e6fc13b1ba856acadbfae24f37e,0xa692a4656e369e6fc13b1ba856acadbfae24f37e,6,TRUE
2259,0xa6bc05dfce1751ba1f42779ba811088de6d2d4e3,0xa6bc05dfce1751ba1f42779ba811088de6d2d4e3,10,TRUE
2260,0xa6d29522f0df66e945c41a1a037a7141453aa6a9,0xa6d29522f0df66e945c41a1a037a7141453aa6a9,15,TRUE
